id,score,vdw,elec,desolv,bsa,total
swift-otter-reed,-127.6897,-64.9667,-215.195,-19.684,3463.02,-280.1617
azure-fox-flint,-49.2013,-35.1036,3.56907,-14.8115,1675.19,-31.53453
dark-seal-lava,-158.6423,-63.966,-412.011,-12.2741,2962.38,-475.97700000000003
calm-orca-ruby,-102.6965,-76.4961,-174.084,8.61642,3032.2,-250.58010000000002
noble-lynx-lotus,-114.0653,-67.4745,-198.051,-6.98057,2440.95,-265.52549999999997
swift-orca-vine,-53.8418,-25.8268,-193.042,10.5934,3602.08,-218.8688
misty-goat-pearl,-69.7499,-43.2739,-215.545,16.633,3387.24,-258.8189
quick-yak-frost,-152.4614,-92.8255,-314.928,3.3497,3607.3,-407.75350000000003
jade-ant-rose,-70.2527,-52.9125,-97.8126,2.22236,1801.04,-150.7251
quick-hawk-moss,-40.8789,-19.0934,-113.416,0.897653,2146.18,-132.5094
scarlet-swan-stone,-73.1394,-16.6662,-96.4287,-37.1875,2574.77,-113.09490000000001
deep-bison-topaz,-85.0232,-49.3721,-94.8473,-16.6816,1621.0,-144.2194
young-seal-clay,-159.8913,-74.5772,-233.242,-38.6657,3543.29,-307.8192
golden-fox-opal,-100.4493,-70.0559,-64.1366,-17.5661,1928.71,-134.1925
quiet-kiwi-granite,-162.7544,-95.693,-145.472,-37.967,4069.7,-241.16500000000002
brisk-ram-ivy,-101.8931,-28.9286,-259.984,-20.9677,1634.94,-288.9126
deep-moth-dust,-75.0154,-48.1969,-56.8326,-15.452,2085.55,-105.0295
silent-swan-birch,-86.901,-57.7947,-48.0778,-19.4907,2304.41,-105.8725
frozen-gecko-bronze,451.8264,512.826,-230.196,-14.9604,2010.24,282.63
calm-jaguar-reed,-115.4815,-43.3603,-184.304,-35.2604,2094.02,-227.6643
shy-moth-fern,-100.824,-58.7664,-142.509,-13.5558,2548.1,-201.2754
deep-heron-thorn,-114.2873,-57.6919,-81.7112,-40.2532,1949.04,-139.4031
golden-toad-frost,-84.8646,-43.3769,-107.458,-19.9961,2233.78,-150.8349
