id,classification,design_class,boltz2_complex_iplddt,boltz2_complex_pde,boltz2_complex_plddt,boltz2_ipsae,boltz2_iptm,boltz2_lis,boltz2_min_ipsae,boltz2_pdockq,boltz2_pdockq2,boltz2_plddt,boltz2_ptm,esmfold_plddt,isoelectric_point,molecular_weight,proteinmpnn_score,proteinmpnn_seq_recovery,redesigned_proteinmpnn_score,shape_complimentarity_boltz2_binder_ss,expression-yield,kd,koff,kon,score,vdw,elec,desolv,bsa,total
rough-bison-maple,Mainly Beta,scFv,0.8006819486618042,0.5554081201553345,0.8431599736213684,0.773667,0.8840335607528687,0.4999,0.727362,0.0183,0.0073,0.8513346910476685,0.90518456697464,80.9632653061224,7.762637519836426,26598.106599999974,1.3222,0.5899600000000002,0.7924800000000001,46.68993724470488,109.52004214775286,5.23106541954949e-10,0.0001094383616791,127870.72412129,-134.5916,-87.2981,-129.686,-21.3563,3747.67,-216.9841
deep-mole-ruby,Alpha Beta,Peptide,0.8504711985588074,0.6650233268737793,0.8385894894599915,0.708789,0.8868181109428406,0.4632,0.396784,0.0183,0.0073,0.8482352495193481,0.8678792119026184,79.52835010060357,8.744314384460449,7107.0825,1.3938,0.51231,0.94305,56.89631401097821,270.60351358487554,5.0629107571869e-08,0.0004315213964929,8468.96344714373,-116.9192,-65.3147,-235.926,-4.41928,2190.53,-301.2407
rough-eagle-ash,Mainly Alpha,Other,0.7424331307411194,0.6789062023162842,0.8081678748130798,0.778202,0.8530320525169373,0.4196,0.548237,0.0183,0.0073,0.8171406984329224,0.9093589186668396,66.84969298245622,4.714362525939941,16258.408699999993,1.7827,0.36376,0.87037,54.64542612328187,574.0048041445845,3.1003640556357303e-09,0.0001047444335756,30169.5886944308,-290.4096,-162.663,-515.505,-24.6456,6816.96,-678.168
silver-heron-pine,Alpha Beta,Other,0.8684014081954956,1.064501166343689,0.8518261313438416,0.598871,0.8253216743469238,0.3459,0.456134,0.0183,0.0073,0.8465251922607422,0.8076601624488831,82.4911898274296,8.611122703552248,15702.03689999999,1.4522,0.49275,0.7722800000000001,47.2950861147586,52.005092249999976,4.33201603572157e-08,0.0010991765449479,51062.6554477943,-150.8054,-54.7891,-417.458,-12.5247,2663.58,-472.2471000000001
wild-yak-marble,Mainly Beta,scFv,0.7804701328277588,0.930297315120697,0.826567530632019,0.377484,0.6817558407783508,0.1337,0.280322,0.0183,0.0073,0.7976052165031433,0.7955821752548218,80.84028800000014,6.763464927673341,26599.09129999998,1.3533,0.5683999999999999,0.8124800000000001,48.51221555032007,89.87044535570283,7.33077919513719e-10,7.6338096943057e-05,104133.673803318,-89.2127,-69.4464,-59.1758,-7.93116,2519.13,-128.6222
vast-ibis-cypress,Alpha Beta,Other,0.8701288104057312,0.8241928219795227,0.8605812191963196,0.780842,0.9029179215431212,0.4997,0.6698,0.0183,0.0073,0.8690485954284668,0.8496002554893494,84.1379213483145,7.808878135681153,15649.768499999987,1.4308,0.4861499999999999,0.77942,58.45358553643321,96.55273938448052,3.71245956030969e-09,0.0012031761355095,222277.253428837,-137.3472,-37.7756,-422.482,-15.0752,2922.59,-460.2576
shy-moth-ruby,Alpha Beta,Other,0.8555060625076294,0.7010080218315125,0.8307311534881592,0.678322,0.8747442364692688,0.4405,0.564083,0.0183,0.0073,0.839533805847168,0.8779627084732056,85.58178506375226,6.75050563812256,15634.757299999994,1.4456,0.51749,0.77015,62.66276516430973,85.27424859729675,1.26226087391592e-08,0.0016484118326734,53528.3416184544,-168.0903,-72.5559,-412.833,-12.9678,2843.8,-485.3889
strong-falcon-ice,Alpha Beta,Other,0.8770694732666016,0.8146811127662659,0.8573310971260071,0.833452,0.9219284653663636,0.5557,0.735057,0.0183,0.0073,0.8702506422996521,0.852678120136261,84.82336669699734,5.272976112365721,15646.509599999994,1.5238,0.47521,0.77817,60.0050728616365,84.11481282900337,3.2646606297542503e-09,0.0026733426836868,367101.54002219,-195.5231,-61.3645,-591.984,-15.7618,3017.59,-653.3485000000001
noble-deer-willow,Alpha Beta,Other,0.8787544369697571,0.8173341155052185,0.8581210970878601,0.787295,0.898575484752655,0.5041,0.657923,0.0183,0.0073,0.866212010383606,0.8434964418411255,85.11929551692583,6.132211112976075,15567.621499999994,1.3389,0.52843,0.77299,62.540795104668256,183.4866974797161,1.24089791752877e-08,0.0006448792568477,27564.1964078448,-184.904,-74.9043,-446.499,-20.6999,2708.77,-521.4033000000001
swift-jaguar-clay,Alpha Beta,Other,0.8509396910667419,0.8970026969909668,0.8298971056938171,0.777654,0.8903254866600037,0.4774,0.637356,0.0183,0.0073,0.8419827818870544,0.8399986624717712,85.69397940074903,5.036355400085449,15586.664799999991,1.4173,0.4912599999999999,0.78601,61.62475414180377,356.3845914715212,2.72590637706639e-09,0.0015988715502156,156825.362212411,-202.3319,-76.99,-519.488,-21.4443,2896.5,-596.4780000000001
